model,num_second_level_models,table_size,train_workload,test_workload,model_size,build_time,test_workload_time
linear_model,2000,NA,NA,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.5,104,600.306,28.447
weighted_linear_model,2000,NA,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.5,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.5,104,637.285,28.9373
look_up_table_linear_model,2000,3,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.5,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.5,168,664.86,34.8107
look_up_table_linear_model,2000,5,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.5,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.5,168,664.532,34.478
look_up_table_linear_model,2000,10,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.5,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.5,168,659.143,34.1866
linear_model,10,NA,NA,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.7,104,24.5909,17.0835
weighted_linear_model,10,NA,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.7,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.7,104,26.8499,20.4286
look_up_table_linear_model,10,3,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.7,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.7,168,81.8049,26.4073
look_up_table_linear_model,10,5,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.7,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.7,168,81.172,26.5125
look_up_table_linear_model,10,10,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.7,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.7,168,77.6906,25.9208
linear_model,50,NA,NA,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.7,104,35.582,14.7337
weighted_linear_model,50,NA,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.7,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.7,104,40.7827,19.4695
look_up_table_linear_model,50,3,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.7,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.7,168,91.821,26.0777
look_up_table_linear_model,50,5,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.7,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.7,168,92.3933,25.9804
look_up_table_linear_model,50,10,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.7,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.7,168,94.0724,25.1941
linear_model,100,NA,NA,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.7,104,49.1496,14.8936
weighted_linear_model,100,NA,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.7,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.7,104,56.4687,19.547
look_up_table_linear_model,100,3,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.7,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.7,168,107.129,26.1975
look_up_table_linear_model,100,5,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.7,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.7,168,106.06,25.0417
look_up_table_linear_model,100,10,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.7,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.7,168,107.786,26.4057
linear_model,200,NA,NA,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.7,104,77.6514,14.7335
weighted_linear_model,200,NA,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.7,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.7,104,83.1722,19.1734
look_up_table_linear_model,200,3,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.7,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.7,168,136.905,25.6243
look_up_table_linear_model,200,5,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.7,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.7,168,134.651,25.481
look_up_table_linear_model,200,10,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.7,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.7,168,137.1,25.8953
linear_model,500,NA,NA,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.7,104,162.245,14.9966
weighted_linear_model,500,NA,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.7,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.7,104,173.568,19.6307
